     14.171806	     50.167408	    287.54
     14.126588	     50.166897	    374.15
     14.175732	     50.167122	    285.14
     14.098593	     50.166412	    321.93
     14.148644	     50.166790	    349.55
     14.155574	     50.166843	    332.33
     14.175527	     50.166851	    285.89
     14.133532	     50.166142	    361.49
     14.175814	     50.166447	    285.58
     14.095103	     50.165802	    327.13
     14.092937	     50.165604	    330.47
     14.126186	     50.165859	    367.89
     14.145228	     50.165913	    343.39
     14.173018	     50.166115	    291.01
     14.153770	     50.165886	    325.35
     14.151254	     50.165688	    329.34
     14.175755	     50.165729	    300.67
     14.122487	     50.165249	    359.44
     14.117940	     50.165077	    358.16
     14.175696	     50.165096	    329.25
     14.160579	     50.164898	    324.68
     14.168489	     50.164955	    300.90
     14.155470	     50.164772	    308.21
     14.125375	     50.164326	    357.10
     14.152883	     50.164528	    315.17
     14.099827	     50.164040	    324.68
     14.156386	     50.164421	    315.15
     14.136302	     50.163956	    341.85
     14.152473	     50.163986	    312.58
     14.152265	     50.163895	    311.81
     14.154227	     50.163773	    308.64
     14.128190	     50.163490	    340.92
     14.111882	     50.163277	    337.20
     14.143453	     50.163425	    323.77
     14.139539	     50.163082	    326.97
     14.123021	     50.162869	    337.51
     14.137585	     50.162754	    328.22
     14.122749	     50.162418	    337.64
     14.126811	     50.162357	    336.36
     14.149490	     50.162434	    314.66
     14.168183	     50.162346	    325.30
     14.150125	     50.162170	    318.23
     14.096861	     50.161724	    356.81
     14.151948	     50.162048	    323.03
     14.109676	     50.161461	    362.25
     14.174770	     50.161941	    327.95
     14.160703	     50.161797	    331.51
     14.156860	     50.161366	    331.32
     14.102968	     50.160828	    369.76
     14.112560	     50.160721	    355.17
     14.158480	     50.160835	    341.76
     14.149311	     50.160725	    340.69
     14.160862	     50.160675	    341.95
     14.129507	     50.160355	    337.21
     14.134059	     50.160252	    321.16
     14.136581	     50.160137	    319.22
     14.141480	     50.160171	    323.25
     14.138262	     50.160103	    321.54
     14.094378	     50.159725	    383.42
     14.146032	     50.160072	    333.95
     14.080313	     50.159481	    385.98
     14.086404	     50.159439	    354.93
     14.086337	     50.159256	    353.03
     14.096559	     50.159203	    381.60
     14.077176	     50.158779	    366.31
     14.097686	     50.158806	    382.11
     14.104964	     50.158863	    374.78
     14.113436	     50.158794	    340.63
     14.139404	     50.158855	    321.94
     14.099583	     50.158417	    381.32
     14.116240	     50.158546	    335.71
     14.090558	     50.158165	    388.30
     14.106655	     50.158291	    367.82
     14.096929	     50.158127	    385.23
     14.096230	     50.158077	    386.10
     14.139833	     50.158363	    319.25
     14.103869	     50.157551	    375.25
     14.073081	     50.156994	    367.04
     14.132923	     50.157276	    329.60
     14.108921	     50.156914	    368.03
     14.068054	     50.156323	    396.56
     14.089191	     50.156403	    390.51
     14.135943	     50.156757	    321.67
     14.116981	     50.156303	    340.20
     14.070723	     50.155895	    378.80
     14.141898	     50.156399	    351.10
     14.071006	     50.155720	    373.29
     14.087243	     50.155804	    390.62
     14.141552	     50.156216	    352.35
     14.133714	     50.156113	    323.50
     14.098232	     50.155800	    386.52
     14.101103	     50.155777	    378.44
     14.138825	     50.156059	    338.98
     14.148972	     50.156136	    352.81
     14.112170	     50.155319	    364.99
     14.139746	     50.155437	    330.04
     14.122043	     50.155125	    335.82
     14.109938	     50.154900	    371.93
     14.086850	     50.154362	    393.63
     14.097280	     50.154350	    384.36
     14.116459	     50.154274	    331.45
     14.136618	     50.154247	    329.95
     14.140680	     50.154053	    354.44
     14.099539	     50.153336	    355.65
     14.140900	     50.153557	    352.42
     14.104999	     50.153240	    342.60
     14.155248	     50.153572	    358.50
     14.144127	     50.153133	    353.98
